vendor_id,vendor_name,data_source_type,source_url,credentials,last_sync_date,sync_status,tier_used,notes
vendor_001,Acme Products,drive,https://drive.google.com/drive/folders/1ABC123XYZ_ACME,"{""type"":""oauth2"",""refresh_token"":""ENCRYPTED_TOKEN_ACME"",""client_id"":""YOUR_GOOGLE_CLIENT_ID"",""client_secret"":""ENCRYPTED_CLIENT_SECRET""}",,pending,1,"Products organized in subfolders by category. Images in /images, videos in /videos. Contact: sales@acmeproducts.com"
vendor_002,Beta Supplies,shopify,https://beta-supplies.myshopify.com,,,pending,2,"Public Shopify store, no credentials needed. Rate limit: 2 req/sec. Large catalog (~500 products)."
vendor_003,Gamma Industries,sheets,https://docs.google.com/spreadsheets/d/GAMMA_SHEET_ID_123,"{""type"":""oauth2"",""refresh_token"":""ENCRYPTED_TOKEN_GAMMA"",""client_id"":""YOUR_GOOGLE_CLIENT_ID"",""client_secret"":""ENCRYPTED_CLIENT_SECRET""}",,pending,1,"Spreadsheet format: Column A=SKU, B=Product Name, C=Image URLs (comma-separated), D=Video URLs, E=Description. Header row included."
vendor_004,Delta Manufacturing,dropbox,https://www.dropbox.com/sh/DELTA_FOLDER_789,"{""type"":""access_token"",""token"":""ENCRYPTED_DROPBOX_TOKEN_DELTA""}",,pending,1,"Files named with SKU prefix (e.g., DELTA-001-product-name.jpg). Product info in metadata.json file in each folder."
vendor_005,Epsilon Wholesale,website,https://epsilon-wholesale.com/catalog,,,pending,3,"Requires Zyte API + Gemini AI. Product pages follow pattern: /product/{sku}. Estimated 200 products. Cost: ~$0.40 per sync."
vendor_006,Zeta Distributors,shopify,https://zeta-dist.myshopify.com,,,pending,2,"Public Shopify store. Medium catalog (~150 products). Products have multiple variants - handle carefully."
vendor_007,Eta Imports,drive,https://drive.google.com/drive/folders/1ETA_IMPORTS_456,"{""type"":""oauth2"",""refresh_token"":""ENCRYPTED_TOKEN_ETA"",""client_id"":""YOUR_GOOGLE_CLIENT_ID"",""client_secret"":""ENCRYPTED_CLIENT_SECRET""}",,pending,1,"Flat folder structure. Filename format: {SKU}_{product-name}_{image-number}.jpg. Product descriptions in descriptions.txt file."
vendor_008,Theta Goods,website,https://thetagoods.com/products,"{""type"":""basic_auth"",""username"":""api_user"",""password"":""ENCRYPTED_PASSWORD_THETA""}",,pending,3,"Requires authentication. Zyte API + Gemini AI needed. Estimated 100 products. JavaScript-heavy site, may need browser rendering."
vendor_009,Iota Merchandise,sheets,https://docs.google.com/spreadsheets/d/IOTA_SHEET_ID_789,"{""type"":""oauth2"",""refresh_token"":""ENCRYPTED_TOKEN_IOTA"",""client_id"":""YOUR_GOOGLE_CLIENT_ID"",""client_secret"":""ENCRYPTED_CLIENT_SECRET""}",,pending,1,"Multi-sheet workbook. Products in 'Catalog' sheet. Pricing in 'Prices' sheet. Use VLOOKUP to combine data. Updates weekly on Mondays."
vendor_010,Kappa Supplies Co,dropbox,https://www.dropbox.com/sh/KAPPA_FOLDER_321,"{""type"":""access_token"",""token"":""ENCRYPTED_DROPBOX_TOKEN_KAPPA""}",,pending,1,"Organized by product category folders. Each product has its own subfolder with images, videos, and info.txt file. SKU in folder name."

